# Range Matrix: 64 beams x 59 scans
10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,2.807,2.833,2.721,2.332,2.458,2.586,2.806,2.792,2.777,3.084,3.818,3.848,3.931,4.130,4.274,4.027,3.860,3.726,3.652
10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,3.611,2.813,2.539,2.333,2.353,2.475,2.761,2.744,2.774,3.010,3.996,3.847,3.919,4.112,4.265,3.990,3.653,3.725,3.648
10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,2.772,2.452,2.263,2.242,2.374,2.494,2.715,2.775,2.943,4.721,4.030,3.923,4.198,4.246,3.992,3.863,3.734,3.648
10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,2.374,2.203,2.137,2.263,2.402,2.694,2.778,2.898,4.721,4.789,4.250,4.087,4.109,4.008,3.872,3.749,3.653
10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,2.303,2.149,2.060,2.208,2.356,2.675,2.748,4.286,5.582,4.805,4.145,4.014,4.018,4.029,3.886,3.768,3.662
10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,8.435,8.384,8.384,8.384,8.384,8.384,8.434,8.486,7.531,7.531,7.531,7.531,7.531,7.716,7.616,7.576,8.709,8.713,8.726,8.739,8.680,8.755,8.758,8.760,8.760,8.945,2.251,2.113,2.032,2.170,2.315,2.664,2.723,4.227,5.949,6.120,4.102,3.972,3.971,4.093,3.908,6.204,6.252
10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,8.322,8.322,7.504,8.322,7.988,7.955,7.475,7.475,7.475,7.475,7.475,7.475,7.659,7.835,7.520,7.888,7.880,8.626,8.639,8.674,8.691,8.694,8.696,8.695,8.811,2.222,2.094,2.012,2.135,2.278,2.660,4.074,4.190,5.959,6.185,4.064,3.943,3.931,4.044,4.644,5.764,6.143
10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,8.271,8.271,7.458,8.271,7.952,7.569,7.465,7.443,7.441,7.442,7.439,7.439,7.431,7.421,7.423,7.475,7.545,7.927,8.586,8.620,8.637,8.640,8.642,8.659,8.757,2.205,2.078,2.006,2.106,2.245,3.379,4.070,5.802,5.976,6.164,6.387,3.932,3.918,4.014,5.708,5.735,6.045
10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,8.276,8.231,8.240,7.421,8.262,8.222,7.386,7.243,7.241,7.239,7.359,7.364,7.369,7.368,7.318,7.318,7.415,7.472,7.563,8.065,8.570,8.609,8.637,8.666,8.698,8.624,2.190,2.064,2.003,2.090,2.215,3.279,5.797,5.851,6.001,6.188,6.408,3.920,4.536,5.644,5.741,6.176,5.957
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,8.246,8.200,8.200,7.394,8.232,8.192,7.359,7.217,7.214,7.212,7.331,7.328,7.328,7.344,7.291,7.291,7.360,7.411,7.467,7.720,8.528,8.574,8.605,8.634,8.666,8.747,2.178,2.053,2.002,2.076,2.189,10.038,5.839,5.908,6.033,6.268,5.698,5.885,5.942,5.808,5.792,6.137,5.878
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,8.226,8.180,8.180,8.180,8.212,8.172,7.341,7.199,7.197,7.194,7.312,7.305,7.310,7.326,7.323,7.336,7.355,7.380,7.418,7.470,7.880,8.550,8.582,8.613,8.645,8.711,10.014,1.996,2.004,2.066,10.014,10.014,10.014,10.014,6.285,5.830,5.701,5.732,5.824,5.872,6.231,6.033,5.851
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,8.216,8.170,8.170,8.170,8.170,8.170,7.332,7.190,7.187,7.185,7.303,7.315,7.317,7.316,7.321,7.336,7.355,7.375,7.405,7.438,7.530,8.418,8.572,8.603,7.697,7.675,10.002,1.874,2.008,2.060,10.002,10.002,10.002,10.002,6.348,5.727,5.579,5.599,5.694,5.789,6.369,6.185,5.620
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,8.216,8.170,8.170,8.170,8.170,8.170,7.332,7.190,7.187,7.184,7.303,7.290,7.130,7.318,7.330,7.341,7.355,7.376,7.406,7.438,7.530,8.418,8.572,8.603,7.653,7.631,10.002,2.035,2.014,2.058,10.002,10.002,10.002,10.002,5.788,5.645,5.511,5.464,5.598,5.732,6.243,6.234,5.999
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,8.226,8.180,8.180,8.180,8.180,8.180,7.341,7.199,7.197,7.194,7.313,6.724,7.250,7.269,7.348,7.358,7.369,7.385,7.415,7.447,7.539,7.793,7.769,8.613,8.645,8.712,10.014,2.042,2.019,2.068,10.014,10.014,10.014,10.014,10.014,5.622,5.497,5.446,5.561,5.694,6.140,6.273,6.104
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,8.246,8.200,8.200,7.394,8.200,8.200,7.359,7.217,7.214,7.212,7.331,6.741,7.268,7.292,7.379,7.249,7.332,7.415,7.446,7.490,7.964,8.572,8.603,8.634,8.666,8.747,10.038,10.038,2.037,10.038,10.038,10.038,10.038,10.038,10.038,5.626,5.501,5.464,5.554,5.663,6.107,6.239,10.038
